-21732,30936,-672301152,-672301152
-16987,-28079,476977973,476977973
-9186,-1432,13154352,13154352
-1696,10832,-18371072,-18371072
5672,16294,92158864,92419568
7537,19261,145170157,145170157
-14954,-15897,237723738,237723738
29572,-12482,-369117704,-369117704
5620,-17353,-97523860,-97523860
2453,21017,51554701,51554701
-3077,11906,-36634762,-36634762
-22983,12640,-290505120,-290505120
1749,-11351,-20034515,-19852899
-8855,-30573,270723915,270723915
-16273,8837,-143804501,-143804501
-2210,12801,-28290210,-28290210
19533,24403,476688202,476663799
-351,-13166,4621266,4621266
-27242,32366,-881714572,-881714572
-15907,-19901,316545306,316565207
17615,17134,302089554,301815410
-13429,114,-1530906,-1530906
-13559,8962,-121515758,-121515758
26396,-27949,-737741804,-737741804
20449,23964,490039836,490039836
-24409,1318,-32171062,-32171062
-15572,-5046,78657048,78576312
18373,-20103,-369352419,-369352419
-12639,-29233,369475887,369475887
-7259,-18893,137144287,137144287
-8353,-17054,142452062,142452062
-15372,-4477,68820444,68820444
7845,-19440,-152506800,-152506800
-3653,-2157,7879521,7879521
31888,30009,956926992,956926992
14523,10774,156470802,156470802
-23744,-19291,458045504,458045504
10600,-22668,-240280800,-240280800
-464,-3553,1705440,1648592
2840,18269,51883960,51883960
-17627,27160,-478749320,-478749320
-5242,-22572,118322424,118322424
-15484,6210,-96155640,-96155640
-27084,8600,-233060000,-232922400
-15254,-18271,278705834,278705834
-26164,-10753,281169444,281341492
11099,-15100,-167594900,-167594900
15641,-25844,-404226004,-404226004
8425,31848,268319400,268319400
-28505,4598,-131065990,-131065990
-27619,-9937,274440066,274450003
25011,-27695,-692651950,-692679645
12551,-26959,-338362409,-338362409
13425,15778,211819650,211819650
25154,13329,335277666,335277666
23876,-5505,-131437380,-131437380
21713,-5153,-111969537,-111887089
-7150,14336,-102502400,-102502400
-3295,-19090,62901550,62901550
-27607,-32576,899846848,899325632
-5241,21087,-110516967,-110516967
-265,-7660,2029900,2029900
-23002,15962,-367157924,-367157924
26887,14271,383704377,383704377
21368,-19862,-424411216,-424411216
-7567,7121,-53884607,-53884607
-9114,-20752,189133728,189133728
14164,-5515,-78114460,-78114460
-4026,-5456,21965856,21965856
-3479,-15661,54484619,54484619
-2419,-6938,16776084,16783022
24904,32728,815058112,815058112
8079,-9762,-78867198,-78867198
-29309,-18176,532738560,532720384
21301,-15608,-332216280,-332466008
17696,-12050,-213236800,-213236800
16872,24324,410394528,410394528
4756,-8443,-40154908,-40154908
21402,10126,216716652,216716652
17871,-15691,-280664917,-280413861
-18875,23261,-439051375,-439051375
-6786,5304,-35992944,-35992944
21673,-3248,-70393904,-70393904
-16634,13305,-221315370,-221315370
-8262,-21001,173510262,173510262
24940,14678,366069320,366069320
-17802,1505,-26792010,-26792010
5280,767,4049760,4049760
6559,14262,93544458,93544458
-6549,11168,-73139232,-73139232
-7154,16003,-114485462,-114485462
-23187,4372,-101369192,-101373564
-14829,-10176,150910080,150899904
-10135,-12837,130102995,130102995
12201,-32768,-399802368,-399802368
-12451,15872,-197606400,-197622272
18654,28993,540835422,540835422
-27253,-77,2098481,2098481
-192,-22177,4257984,4257984
-2295,27469,-63041355,-63041355
-844,-7789,6573916,6573916
32235,-24591,-792690885,-792690885
-20611,-26753,551379330,551406083
30371,30592,929079040,929109632
17115,1987,34007505,34007505
-3918,-29659,116203962,116203962
-23281,11656,-271363336,-271363336
-19908,16673,-331926084,-331926084
32040,-15491,-496083784,-496331640
20117,-21989,-442352713,-442352713
15454,18503,285945362,285945362
2928,-21591,-63218448,-63218448
2665,-1587,-4229355,-4229355
-2132,-9918,21145176,21145176
-10341,-13213,136635633,136635633
-9100,-28070,255437000,255437000
19233,-32182,-618956406,-618956406
19122,-2588,-49487736,-49487736
-10952,-26764,293119328,293119328
-30082,-9501,285809082,285809082
-24909,17690,-440657900,-440640210
-22119,-8628,190842732,190842732
-27467,-30213,829860471,829860471
29583,25078,741882474,741882474
25822,8157,210630054,210630054
29583,31167,922013361,922013361
31194,-32202,-1004509188,-1004509188
-2141,1972,-4224024,-4222052
-606,-4239,2568834,2568834
2127,-23713,-50437551,-50437551
-8638,25051,-216390538,-216390538
30007,-21505,-644956455,-645300535
-13948,-26983,376358884,376358884
-14110,15078,-212750580,-212750580
10580,2222,23508760,23508760
20278,11940,241928280,242119320
